date,country,daily_cases,daily_deaths,continent,year,month,month_name
2020-10-25,South Africa,27006,823,Africa,2020,10,Oct 2020
2020-11-01,South Africa,24168,864,Africa,2020,11,Nov 2020
2020-11-08,South Africa,25807,857,Africa,2020,11,Nov 2020
2020-11-15,South Africa,22732,836,Africa,2020,11,Nov 2020
2020-11-22,South Africa,23264,832,Africa,2020,11,Nov 2020
2020-11-29,South Africa,24929,841,Africa,2020,11,Nov 2020
2020-12-06,South Africa,25288,784,Africa,2020,12,Dec 2020
2020-12-13,South Africa,24184,688,Africa,2020,12,Dec 2020
2020-12-20,South Africa,23426,757,Africa,2020,12,Dec 2020
2020-12-27,South Africa,22785,850,Africa,2020,12,Dec 2020
2021-01-03,South Africa,20844,727,Africa,2021,1,Jan 2021
2021-01-10,South Africa,21413,617,Africa,2021,1,Jan 2021
2021-01-17,South Africa,21332,740,Africa,2021,1,Jan 2021
2021-01-24,South Africa,22888,812,Africa,2021,1,Jan 2021
2021-01-31,South Africa,21549,654,Africa,2021,1,Jan 2021
2021-02-07,South Africa,18410,639,Africa,2021,2,Feb 2021
2021-02-14,South Africa,20735,710,Africa,2021,2,Feb 2021
2021-02-21,South Africa,19442,559,Africa,2021,2,Feb 2021
2021-02-28,South Africa,18711,667,Africa,2021,2,Feb 2021
2021-03-07,South Africa,20057,731,Africa,2021,3,Mar 2021
2021-03-14,South Africa,20297,785,Africa,2021,3,Mar 2021
2021-03-21,South Africa,19890,769,Africa,2021,3,Mar 2021
2021-03-28,South Africa,17339,467,Africa,2021,3,Mar 2021
2021-04-04,South Africa,17807,522,Africa,2021,4,Apr 2021
2021-04-11,South Africa,18450,672,Africa,2021,4,Apr 2021
2021-04-18,South Africa,19127,695,Africa,2021,4,Apr 2021
2021-04-25,South Africa,17106,627,Africa,2021,4,Apr 2021
2021-05-02,South Africa,17386,931,Africa,2021,5,May 2021
2021-05-09,South Africa,16115,598,Africa,2021,5,May 2021
2021-05-16,South Africa,15950,642,Africa,2021,5,May 2021
2021-05-23,South Africa,18536,714,Africa,2021,5,May 2021
2021-05-30,South Africa,19239,711,Africa,2021,5,May 2021
2021-06-06,South Africa,17397,563,Africa,2021,6,Jun 2021
2021-06-13,South Africa,18824,707,Africa,2021,6,Jun 2021
2021-06-20,South Africa,18030,544,Africa,2021,6,Jun 2021
2021-06-27,South Africa,16769,549,Africa,2021,6,Jun 2021
2021-07-04,South Africa,18129,573,Africa,2021,7,Jul 2021
2021-07-11,South Africa,19710,677,Africa,2021,7,Jul 2021
2021-07-18,South Africa,17710,806,Africa,2021,7,Jul 2021
2021-07-25,South Africa,19829,509,Africa,2021,7,Jul 2021
2021-08-01,South Africa,14415,550,Africa,2021,8,Aug 2021
2021-08-08,South Africa,18900,500,Africa,2021,8,Aug 2021
2021-08-15,South Africa,17935,568,Africa,2021,8,Aug 2021
2021-08-22,South Africa,17400,687,Africa,2021,8,Aug 2021
2021-08-29,South Africa,17850,612,Africa,2021,8,Aug 2021
2021-09-05,South Africa,15060,416,Africa,2021,9,Sep 2021
2021-09-12,South Africa,17241,522,Africa,2021,9,Sep 2021
2021-09-19,South Africa,17842,666,Africa,2021,9,Sep 2021
2021-09-26,South Africa,19116,585,Africa,2021,9,Sep 2021
2021-10-03,South Africa,16303,573,Africa,2021,10,Oct 2021
2021-10-10,South Africa,15674,536,Africa,2021,10,Oct 2021
2021-10-17,South Africa,15785,479,Africa,2021,10,Oct 2021
2021-10-24,South Africa,17306,777,Africa,2021,10,Oct 2021
2021-10-31,South Africa,16189,606,Africa,2021,10,Oct 2021
2021-11-07,South Africa,14687,320,Africa,2021,11,Nov 2021
2021-11-14,South Africa,15627,547,Africa,2021,11,Nov 2021
2021-11-21,South Africa,14642,439,Africa,2021,11,Nov 2021
2021-11-28,South Africa,15306,595,Africa,2021,11,Nov 2021
2021-12-05,South Africa,12642,359,Africa,2021,12,Dec 2021
2021-12-12,South Africa,12617,418,Africa,2021,12,Dec 2021
2021-12-19,South Africa,12006,452,Africa,2021,12,Dec 2021
2021-12-26,South Africa,10072,418,Africa,2021,12,Dec 2021
2022-01-02,South Africa,11808,295,Africa,2022,1,Jan 2022
2022-01-09,South Africa,11205,351,Africa,2022,1,Jan 2022
2022-01-16,South Africa,10311,308,Africa,2022,1,Jan 2022
2022-01-23,South Africa,9438,263,Africa,2022,1,Jan 2022
2022-01-30,South Africa,7345,405,Africa,2022,1,Jan 2022
2022-02-06,South Africa,8085,310,Africa,2022,2,Feb 2022
2022-02-13,South Africa,7643,148,Africa,2022,2,Feb 2022
2022-02-20,South Africa,6513,302,Africa,2022,2,Feb 2022
2022-02-27,South Africa,6827,419,Africa,2022,2,Feb 2022
2022-03-06,South Africa,7058,331,Africa,2022,3,Mar 2022
2022-03-13,South Africa,8499,154,Africa,2022,3,Mar 2022
2022-03-20,South Africa,5806,154,Africa,2022,3,Mar 2022
2022-03-27,South Africa,5467,297,Africa,2022,3,Mar 2022
2022-04-03,South Africa,4609,94,Africa,2022,4,Apr 2022
2022-04-10,South Africa,1808,100,Africa,2022,4,Apr 2022
2022-04-17,South Africa,3886,200,Africa,2022,4,Apr 2022
2022-04-24,South Africa,3640,41,Africa,2022,4,Apr 2022
2022-05-01,South Africa,6428,213,Africa,2022,5,May 2022
2022-05-08,South Africa,2662,0,Africa,2022,5,May 2022
2022-05-15,South Africa,3013,11,Africa,2022,5,May 2022
2022-05-22,South Africa,2306,56,Africa,2022,5,May 2022
2022-05-29,South Africa,584,0,Africa,2022,5,May 2022
2022-06-05,South Africa,3361,258,Africa,2022,6,Jun 2022
2022-06-12,South Africa,2644,0,Africa,2022,6,Jun 2022
2022-06-19,South Africa,2505,46,Africa,2022,6,Jun 2022
2022-06-26,South Africa,121,15,Africa,2022,6,Jun 2022
2022-07-03,South Africa,2971,228,Africa,2022,7,Jul 2022
2022-07-10,South Africa,0,0,Africa,2022,7,Jul 2022
2022-07-17,South Africa,1644,158,Africa,2022,7,Jul 2022
2022-07-24,South Africa,3616,123,Africa,2022,7,Jul 2022
2022-07-31,South Africa,0,0,Africa,2022,7,Jul 2022
2022-08-07,South Africa,0,40,Africa,2022,8,Aug 2022
2022-08-14,South Africa,629,38,Africa,2022,8,Aug 2022
2022-08-21,South Africa,0,0,Africa,2022,8,Aug 2022
2022-08-28,South Africa,0,6,Africa,2022,8,Aug 2022
2022-09-04,South Africa,405,0,Africa,2022,9,Sep 2022
2022-09-11,South Africa,0,10,Africa,2022,9,Sep 2022
2022-09-18,South Africa,845,87,Africa,2022,9,Sep 2022
2022-09-25,South Africa,0,140,Africa,2022,9,Sep 2022
2022-10-02,South Africa,2179,0,Africa,2022,10,Oct 2022
2022-10-09,South Africa,0,188,Africa,2022,10,Oct 2022
2022-10-16,South Africa,0,0,Africa,2022,10,Oct 2022
2022-10-23,South Africa,1154,25,Africa,2022,10,Oct 2022
2022-10-30,South Africa,0,52,Africa,2022,10,Oct 2022
2022-11-06,South Africa,363,37,Africa,2022,11,Nov 2022
2022-11-13,South Africa,1755,4,Africa,2022,11,Nov 2022
2022-11-20,South Africa,0,0,Africa,2022,11,Nov 2022
2022-11-27,South Africa,278,0,Africa,2022,11,Nov 2022
2022-12-04,South Africa,369,0,Africa,2022,12,Dec 2022
2022-12-11,South Africa,1042,110,Africa,2022,12,Dec 2022
2022-12-18,South Africa,0,31,Africa,2022,12,Dec 2022
2022-12-25,South Africa,0,0,Africa,2022,12,Dec 2022
2020-03-01,Egypt,684,28,Africa,2020,3,Mar 2020
2020-03-08,Egypt,677,45,Africa,2020,3,Mar 2020
2020-03-15,Egypt,753,46,Africa,2020,3,Mar 2020
2020-03-22,Egypt,778,36,Africa,2020,3,Mar 2020
2020-03-29,Egypt,709,36,Africa,2020,3,Mar 2020
2020-04-05,Egypt,769,35,Africa,2020,4,Apr 2020
2020-04-12,Egypt,908,52,Africa,2020,4,Apr 2020
2020-04-19,Egypt,939,62,Africa,2020,4,Apr 2020
2020-04-26,Egypt,932,45,Africa,2020,4,Apr 2020
2020-05-03,Egypt,984,61,Africa,2020,5,May 2020
2020-05-10,Egypt,1111,59,Africa,2020,5,May 2020
2020-05-17,Egypt,1011,51,Africa,2020,5,May 2020
2020-05-24,Egypt,1136,64,Africa,2020,5,May 2020
2020-05-31,Egypt,1119,55,Africa,2020,5,May 2020
2020-06-07,Egypt,1156,62,Africa,2020,6,Jun 2020
2020-06-14,Egypt,1291,64,Africa,2020,6,Jun 2020
2020-06-21,Egypt,1306,92,Africa,2020,6,Jun 2020
2020-06-28,Egypt,1339,77,Africa,2020,6,Jun 2020
2020-07-05,Egypt,1408,75,Africa,2020,7,Jul 2020
2020-07-12,Egypt,1341,79,Africa,2020,7,Jul 2020
2020-07-19,Egypt,1419,81,Africa,2020,7,Jul 2020
2020-07-26,Egypt,1371,77,Africa,2020,7,Jul 2020
2020-08-02,Egypt,1442,88,Africa,2020,8,Aug 2020
2020-08-09,Egypt,1429,89,Africa,2020,8,Aug 2020
2020-08-16,Egypt,1465,80,Africa,2020,8,Aug 2020
2020-08-23,Egypt,1518,83,Africa,2020,8,Aug 2020
2020-08-30,Egypt,1425,80,Africa,2020,8,Aug 2020
2020-09-06,Egypt,1654,75,Africa,2020,9,Sep 2020
2020-09-13,Egypt,1430,69,Africa,2020,9,Sep 2020
2020-09-20,Egypt,1419,94,Africa,2020,9,Sep 2020
2020-09-27,Egypt,1600,107,Africa,2020,9,Sep 2020
2020-10-04,Egypt,1572,89,Africa,2020,10,Oct 2020
2020-10-11,Egypt,1556,95,Africa,2020,10,Oct 2020
2020-10-18,Egypt,1551,92,Africa,2020,10,Oct 2020
2020-10-25,Egypt,1495,113,Africa,2020,10,Oct 2020
2020-11-01,Egypt,1418,91,Africa,2020,11,Nov 2020
2020-11-08,Egypt,1478,84,Africa,2020,11,Nov 2020
2020-11-15,Egypt,1407,73,Africa,2020,11,Nov 2020
2020-11-22,Egypt,1514,73,Africa,2020,11,Nov 2020
2020-11-29,Egypt,1412,83,Africa,2020,11,Nov 2020
2020-12-06,Egypt,1341,71,Africa,2020,12,Dec 2020
2020-12-13,Egypt,1358,66,Africa,2020,12,Dec 2020
2020-12-20,Egypt,1391,75,Africa,2020,12,Dec 2020
2020-12-27,Egypt,1294,65,Africa,2020,12,Dec 2020
2021-01-03,Egypt,1251,87,Africa,2021,1,Jan 2021
2021-01-10,Egypt,1307,83,Africa,2021,1,Jan 2021
2021-01-17,Egypt,1283,74,Africa,2021,1,Jan 2021
2021-01-24,Egypt,1203,82,Africa,2021,1,Jan 2021
2021-01-31,Egypt,1182,69,Africa,2021,1,Jan 2021
2021-02-07,Egypt,1211,62,Africa,2021,2,Feb 2021
2021-02-14,Egypt,1063,74,Africa,2021,2,Feb 2021
2021-02-21,Egypt,1044,65,Africa,2021,2,Feb 2021
2021-02-28,Egypt,1076,53,Africa,2021,2,Feb 2021
2021-03-07,Egypt,1095,61,Africa,2021,3,Mar 2021
2021-03-14,Egypt,1117,57,Africa,2021,3,Mar 2021
2021-03-21,Egypt,1188,56,Africa,2021,3,Mar 2021
2021-03-28,Egypt,1127,73,Africa,2021,3,Mar 2021
2021-04-04,Egypt,1038,76,Africa,2021,4,Apr 2021
2021-04-11,Egypt,1038,48,Africa,2021,4,Apr 2021
2021-04-18,Egypt,955,60,Africa,2021,4,Apr 2021
2021-04-25,Egypt,1021,53,Africa,2021,4,Apr 2021
2021-05-02,Egypt,995,53,Africa,2021,5,May 2021
2021-05-09,Egypt,1036,54,Africa,2021,5,May 2021
2021-05-16,Egypt,947,47,Africa,2021,5,May 2021
2021-05-23,Egypt,1047,61,Africa,2021,5,May 2021
2021-05-30,Egypt,1123,57,Africa,2021,5,May 2021
2021-06-06,Egypt,1000,60,Africa,2021,6,Jun 2021
2021-06-13,Egypt,1040,59,Africa,2021,6,Jun 2021
2021-06-20,Egypt,1064,59,Africa,2021,6,Jun 2021
2021-06-27,Egypt,985,49,Africa,2021,6,Jun 2021
2021-07-04,Egypt,1035,55,Africa,2021,7,Jul 2021
2021-07-11,Egypt,1022,65,Africa,2021,7,Jul 2021
2021-07-18,Egypt,1031,64,Africa,2021,7,Jul 2021
2021-07-25,Egypt,968,47,Africa,2021,7,Jul 2021
2021-08-01,Egypt,1030,60,Africa,2021,8,Aug 2021
2021-08-08,Egypt,1066,68,Africa,2021,8,Aug 2021
2021-08-15,Egypt,1137,51,Africa,2021,8,Aug 2021
2021-08-22,Egypt,1098,68,Africa,2021,8,Aug 2021
2021-08-29,Egypt,1184,62,Africa,2021,8,Aug 2021
2021-09-05,Egypt,960,60,Africa,2021,9,Sep 2021
2021-09-12,Egypt,1076,55,Africa,2021,9,Sep 2021
2021-09-19,Egypt,1016,43,Africa,2021,9,Sep 2021
2021-09-26,Egypt,1156,52,Africa,2021,9,Sep 2021
2021-10-03,Egypt,918,53,Africa,2021,10,Oct 2021
2021-10-10,Egypt,901,54,Africa,2021,10,Oct 2021
2021-10-17,Egypt,903,44,Africa,2021,10,Oct 2021
2021-10-24,Egypt,770,50,Africa,2021,10,Oct 2021
2021-10-31,Egypt,869,35,Africa,2021,10,Oct 2021
2021-11-07,Egypt,830,47,Africa,2021,11,Nov 2021
2021-11-14,Egypt,874,40,Africa,2021,11,Nov 2021
2021-11-21,Egypt,863,44,Africa,2021,11,Nov 2021
2021-11-28,Egypt,951,55,Africa,2021,11,Nov 2021
2021-12-05,Egypt,853,41,Africa,2021,12,Dec 2021
2021-12-12,Egypt,709,37,Africa,2021,12,Dec 2021
2021-12-19,Egypt,654,46,Africa,2021,12,Dec 2021
2021-12-26,Egypt,727,37,Africa,2021,12,Dec 2021
2022-01-02,Egypt,560,39,Africa,2022,1,Jan 2022
2022-01-09,Egypt,764,34,Africa,2022,1,Jan 2022
2022-01-16,Egypt,682,44,Africa,2022,1,Jan 2022
2022-01-23,Egypt,526,43,Africa,2022,1,Jan 2022
2022-01-30,Egypt,401,1,Africa,2022,1,Jan 2022
2022-02-06,Egypt,599,27,Africa,2022,2,Feb 2022
2022-02-13,Egypt,458,31,Africa,2022,2,Feb 2022
2022-02-20,Egypt,528,28,Africa,2022,2,Feb 2022
2022-02-27,Egypt,286,19,Africa,2022,2,Feb 2022
2022-03-06,Egypt,331,13,Africa,2022,3,Mar 2022
2022-03-13,Egypt,349,20,Africa,2022,3,Mar 2022
2022-03-20,Egypt,325,17,Africa,2022,3,Mar 2022
2022-03-27,Egypt,262,25,Africa,2022,3,Mar 2022
2022-04-03,Egypt,318,20,Africa,2022,4,Apr 2022
2022-04-10,Egypt,168,12,Africa,2022,4,Apr 2022
2022-04-17,Egypt,215,8,Africa,2022,4,Apr 2022
2022-04-24,Egypt,214,8,Africa,2022,4,Apr 2022
2022-05-01,Egypt,224,9,Africa,2022,5,May 2022
2022-05-08,Egypt,221,16,Africa,2022,5,May 2022
2022-05-15,Egypt,66,0,Africa,2022,5,May 2022
2022-05-22,Egypt,20,3,Africa,2022,5,May 2022
2022-05-29,Egypt,217,30,Africa,2022,5,May 2022
2022-06-05,Egypt,133,15,Africa,2022,6,Jun 2022
2022-06-12,Egypt,40,0,Africa,2022,6,Jun 2022
2022-06-19,Egypt,201,22,Africa,2022,6,Jun 2022
2022-06-26,Egypt,83,1,Africa,2022,6,Jun 2022
2022-07-03,Egypt,154,0,Africa,2022,7,Jul 2022
2022-07-10,Egypt,63,0,Africa,2022,7,Jul 2022
2022-07-17,Egypt,205,0,Africa,2022,7,Jul 2022
2022-07-24,Egypt,176,7,Africa,2022,7,Jul 2022
2022-07-31,Egypt,19,1,Africa,2022,7,Jul 2022
2022-08-07,Egypt,106,20,Africa,2022,8,Aug 2022
2022-08-14,Egypt,77,7,Africa,2022,8,Aug 2022
2022-08-21,Egypt,127,5,Africa,2022,8,Aug 2022
2022-08-28,Egypt,0,7,Africa,2022,8,Aug 2022
2022-09-04,Egypt,69,0,Africa,2022,9,Sep 2022
2022-09-11,Egypt,94,7,Africa,2022,9,Sep 2022
2022-09-18,Egypt,0,6,Africa,2022,9,Sep 2022
2022-09-25,Egypt,0,0,Africa,2022,9,Sep 2022
2022-10-02,Egypt,0,9,Africa,2022,10,Oct 2022
2022-10-09,Egypt,0,2,Africa,2022,10,Oct 2022
2022-10-16,Egypt,60,0,Africa,2022,10,Oct 2022
2022-10-23,Egypt,118,12,Africa,2022,10,Oct 2022
2022-10-30,Egypt,10,20,Africa,2022,10,Oct 2022
2022-11-06,Egypt,126,8,Africa,2022,11,Nov 2022
2022-11-13,Egypt,0,2,Africa,2022,11,Nov 2022
2022-11-20,Egypt,0,0,Africa,2022,11,Nov 2022
2022-11-27,Egypt,0,0,Africa,2022,11,Nov 2022
2022-12-04,Egypt,30,8,Africa,2022,12,Dec 2022
2022-12-11,Egypt,0,0,Africa,2022,12,Dec 2022
2022-12-18,Egypt,0,0,Africa,2022,12,Dec 2022
2022-12-25,Egypt,0,0,Africa,2022,12,Dec 2022
2020-03-01,Morocco,3480,36,Africa,2020,3,Mar 2020
2020-03-08,Morocco,3622,46,Africa,2020,3,Mar 2020
2020-03-15,Morocco,4108,64,Africa,2020,3,Mar 2020
2020-03-22,Morocco,3698,66,Africa,2020,3,Mar 2020
2020-03-29,Morocco,4007,79,Africa,2020,3,Mar 2020
2020-04-05,Morocco,3938,60,Africa,2020,4,Apr 2020
2020-04-12,Morocco,4369,81,Africa,2020,4,Apr 2020
2020-04-19,Morocco,4916,77,Africa,2020,4,Apr 2020
2020-04-26,Morocco,5287,86,Africa,2020,4,Apr 2020
2020-05-03,Morocco,4833,66,Africa,2020,5,May 2020
2020-05-10,Morocco,5767,90,Africa,2020,5,May 2020
2020-05-17,Morocco,6176,91,Africa,2020,5,May 2020
2020-05-24,Morocco,6010,94,Africa,2020,5,May 2020
2020-05-31,Morocco,6802,137,Africa,2020,5,May 2020
2020-06-07,Morocco,5943,93,Africa,2020,6,Jun 2020
2020-06-14,Morocco,5950,145,Africa,2020,6,Jun 2020
2020-06-21,Morocco,5925,113,Africa,2020,6,Jun 2020
2020-06-28,Morocco,7415,136,Africa,2020,6,Jun 2020
2020-07-05,Morocco,7249,118,Africa,2020,7,Jul 2020
2020-07-12,Morocco,7125,138,Africa,2020,7,Jul 2020
2020-07-19,Morocco,7410,125,Africa,2020,7,Jul 2020
2020-07-26,Morocco,6986,127,Africa,2020,7,Jul 2020
2020-08-02,Morocco,8540,190,Africa,2020,8,Aug 2020
2020-08-09,Morocco,7727,137,Africa,2020,8,Aug 2020
2020-08-16,Morocco,7819,157,Africa,2020,8,Aug 2020
2020-08-23,Morocco,8151,136,Africa,2020,8,Aug 2020
2020-08-30,Morocco,8124,145,Africa,2020,8,Aug 2020
2020-09-06,Morocco,8078,170,Africa,2020,9,Sep 2020
2020-09-13,Morocco,7715,129,Africa,2020,9,Sep 2020
2020-09-20,Morocco,8247,174,Africa,2020,9,Sep 2020
2020-09-27,Morocco,8824,169,Africa,2020,9,Sep 2020
2020-10-04,Morocco,8607,146,Africa,2020,10,Oct 2020
2020-10-11,Morocco,8690,165,Africa,2020,10,Oct 2020
2020-10-18,Morocco,7819,154,Africa,2020,10,Oct 2020
2020-10-25,Morocco,7584,145,Africa,2020,10,Oct 2020
2020-11-01,Morocco,7874,119,Africa,2020,11,Nov 2020
2020-11-08,Morocco,7879,131,Africa,2020,11,Nov 2020
2020-11-15,Morocco,8216,144,Africa,2020,11,Nov 2020
2020-11-22,Morocco,7012,125,Africa,2020,11,Nov 2020
2020-11-29,Morocco,8203,156,Africa,2020,11,Nov 2020
2020-12-06,Morocco,7422,136,Africa,2020,12,Dec 2020
2020-12-13,Morocco,7202,110,Africa,2020,12,Dec 2020
2020-12-20,Morocco,6849,128,Africa,2020,12,Dec 2020
2020-12-27,Morocco,6469,125,Africa,2020,12,Dec 2020
2021-01-03,Morocco,7334,140,Africa,2021,1,Jan 2021
2021-01-10,Morocco,6906,139,Africa,2021,1,Jan 2021
2021-01-17,Morocco,6231,124,Africa,2021,1,Jan 2021
2021-01-24,Morocco,6101,116,Africa,2021,1,Jan 2021
2021-01-31,Morocco,6358,113,Africa,2021,1,Jan 2021
2021-02-07,Morocco,7037,102,Africa,2021,2,Feb 2021
2021-02-14,Morocco,6146,116,Africa,2021,2,Feb 2021
2021-02-21,Morocco,5534,102,Africa,2021,2,Feb 2021
2021-02-28,Morocco,5929,110,Africa,2021,2,Feb 2021
2021-03-07,Morocco,5817,86,Africa,2021,3,Mar 2021
2021-03-14,Morocco,4754,70,Africa,2021,3,Mar 2021
2021-03-21,Morocco,5725,118,Africa,2021,3,Mar 2021
2021-03-28,Morocco,5578,99,Africa,2021,3,Mar 2021
2021-04-04,Morocco,5881,115,Africa,2021,4,Apr 2021
2021-04-11,Morocco,6284,113,Africa,2021,4,Apr 2021
2021-04-18,Morocco,5945,107,Africa,2021,4,Apr 2021
2021-04-25,Morocco,5347,109,Africa,2021,4,Apr 2021
2021-05-02,Morocco,4981,82,Africa,2021,5,May 2021
2021-05-09,Morocco,6430,117,Africa,2021,5,May 2021
2021-05-16,Morocco,5409,90,Africa,2021,5,May 2021
2021-05-23,Morocco,5384,90,Africa,2021,5,May 2021
2021-05-30,Morocco,5367,92,Africa,2021,5,May 2021
2021-06-06,Morocco,5461,101,Africa,2021,6,Jun 2021
2021-06-13,Morocco,5333,89,Africa,2021,6,Jun 2021
2021-06-20,Morocco,5173,111,Africa,2021,6,Jun 2021
2021-06-27,Morocco,5199,80,Africa,2021,6,Jun 2021
2021-07-04,Morocco,5420,94,Africa,2021,7,Jul 2021
2021-07-11,Morocco,5232,87,Africa,2021,7,Jul 2021
2021-07-18,Morocco,5178,114,Africa,2021,7,Jul 2021
2021-07-25,Morocco,5518,102,Africa,2021,7,Jul 2021
2021-08-01,Morocco,5381,111,Africa,2021,8,Aug 2021
2021-08-08,Morocco,6088,88,Africa,2021,8,Aug 2021
2021-08-15,Morocco,4423,83,Africa,2021,8,Aug 2021
2021-08-22,Morocco,5910,119,Africa,2021,8,Aug 2021
2021-08-29,Morocco,5954,108,Africa,2021,8,Aug 2021
2021-09-05,Morocco,4599,98,Africa,2021,9,Sep 2021
2021-09-12,Morocco,5256,87,Africa,2021,9,Sep 2021
2021-09-19,Morocco,5198,113,Africa,2021,9,Sep 2021
2021-09-26,Morocco,4727,118,Africa,2021,9,Sep 2021
2021-10-03,Morocco,4912,83,Africa,2021,10,Oct 2021
2021-10-10,Morocco,4701,78,Africa,2021,10,Oct 2021
2021-10-17,Morocco,5758,124,Africa,2021,10,Oct 2021
2021-10-24,Morocco,5333,118,Africa,2021,10,Oct 2021
2021-10-31,Morocco,5358,88,Africa,2021,10,Oct 2021
2021-11-07,Morocco,5019,84,Africa,2021,11,Nov 2021
2021-11-14,Morocco,4151,70,Africa,2021,11,Nov 2021
2021-11-21,Morocco,4256,57,Africa,2021,11,Nov 2021
2021-11-28,Morocco,4517,68,Africa,2021,11,Nov 2021
2021-12-05,Morocco,3682,51,Africa,2021,12,Dec 2021
2021-12-12,Morocco,4298,66,Africa,2021,12,Dec 2021
2021-12-19,Morocco,3754,67,Africa,2021,12,Dec 2021
2021-12-26,Morocco,3534,66,Africa,2021,12,Dec 2021
2022-01-02,Morocco,3799,90,Africa,2022,1,Jan 2022
2022-01-09,Morocco,3521,49,Africa,2022,1,Jan 2022
2022-01-16,Morocco,3026,68,Africa,2022,1,Jan 2022
2022-01-23,Morocco,3461,59,Africa,2022,1,Jan 2022
2022-01-30,Morocco,2393,42,Africa,2022,1,Jan 2022
2022-02-06,Morocco,2902,61,Africa,2022,2,Feb 2022
2022-02-13,Morocco,2726,32,Africa,2022,2,Feb 2022
2022-02-20,Morocco,2201,45,Africa,2022,2,Feb 2022
2022-02-27,Morocco,2295,43,Africa,2022,2,Feb 2022
2022-03-06,Morocco,1509,34,Africa,2022,3,Mar 2022
2022-03-13,Morocco,2230,44,Africa,2022,3,Mar 2022
2022-03-20,Morocco,1642,64,Africa,2022,3,Mar 2022
2022-03-27,Morocco,1370,15,Africa,2022,3,Mar 2022
2022-04-03,Morocco,1867,25,Africa,2022,4,Apr 2022
2022-04-10,Morocco,1042,9,Africa,2022,4,Apr 2022
2022-04-17,Morocco,643,3,Africa,2022,4,Apr 2022
2022-04-24,Morocco,473,0,Africa,2022,4,Apr 2022
2022-05-01,Morocco,1235,39,Africa,2022,5,May 2022
2022-05-08,Morocco,384,27,Africa,2022,5,May 2022
2022-05-15,Morocco,1508,18,Africa,2022,5,May 2022
2022-05-22,Morocco,0,0,Africa,2022,5,May 2022
2022-05-29,Morocco,1325,30,Africa,2022,5,May 2022
2022-06-05,Morocco,661,3,Africa,2022,6,Jun 2022
2022-06-12,Morocco,474,17,Africa,2022,6,Jun 2022
2022-06-19,Morocco,236,7,Africa,2022,6,Jun 2022
2022-06-26,Morocco,560,0,Africa,2022,6,Jun 2022
2022-07-03,Morocco,338,28,Africa,2022,7,Jul 2022
2022-07-10,Morocco,751,39,Africa,2022,7,Jul 2022
2022-07-17,Morocco,316,0,Africa,2022,7,Jul 2022
2022-07-24,Morocco,296,0,Africa,2022,7,Jul 2022
2022-07-31,Morocco,60,5,Africa,2022,7,Jul 2022
2022-08-07,Morocco,155,7,Africa,2022,8,Aug 2022
2022-08-14,Morocco,277,14,Africa,2022,8,Aug 2022
2022-08-21,Morocco,0,28,Africa,2022,8,Aug 2022
2022-08-28,Morocco,0,0,Africa,2022,8,Aug 2022
2022-09-04,Morocco,394,0,Africa,2022,9,Sep 2022
